iter	Passed	Remaining
0	78	47270
1	146	43735
2	214	42597
3	289	43189
4	371	44255
5	449	44486
6	523	44363
7	610	45213
8	691	45384
9	773	45619
10	840	44994
11	907	44451
12	973	43959
13	1072	44892
14	1145	44688
15	1226	44758
16	1310	44933
17	1389	44931
18	1466	44859
19	1556	45148
20	1631	44974
21	1705	44816
22	1782	44710
23	1856	44562
24	1928	44346
25	1990	43946
26	2058	43676
27	2131	43553
28	2230	43920
29	2304	43776
30	2380	43687
31	2457	43621
32	2531	43488
33	2598	43249
34	2664	43006
35	2734	42842
36	2800	42612
37	2872	42488
38	2935	42229
39	3002	42033
40	3088	42105
41	3161	42008
42	3255	42167
43	3340	42209
44	3416	42139
45	3497	42122
46	3583	42165
47	3659	42084
48	3749	42159
49	3838	42227
50	3915	42151
51	4025	42424
52	4152	42859
53	4324	43729
54	4399	43591
55	4475	43477
56	4533	43190
57	4591	42910
58	4657	42703
59	4717	42456
60	4799	42411
61	4868	42248
62	4960	42281
63	5052	42317
64	5128	42215
65	5209	42151
66	5310	42245
67	5397	42227
68	5474	42132
69	5550	42023
70	5621	41886
71	5708	41865
72	5793	41825
73	5883	41819
74	5948	41641
75	6011	41448
76	6082	41316
77	6152	41175
78	6222	41034
79	6281	40829
80	6344	40651
81	6415	40524
82	6494	40451
83	6557	40282
84	6629	40164
85	6707	40090
86	6784	40003
87	6855	39885
88	6929	39787
89	6994	39635
90	7077	39587
91	7154	39504
92	7230	39415
93	7315	39377
94	7384	39254
95	7461	39174
96	7539	39096
97	7629	39081
98	7699	38963
99	7775	38877
100	7845	38759
101	7938	38758
102	8004	38624
103	8082	38545
104	8147	38409
105	8215	38288
106	8289	38195
107	8355	38062
108	8438	38010
109	8501	37869
110	8563	37724
111	8620	37561
112	8688	37446
113	8754	37320
114	8841	37286
115	8901	37140
116	8961	36993
117	9036	36910
118	9100	36784
119	9175	36702
120	9243	36590
121	9307	36469
122	9370	36340
123	9441	36243
124	9505	36121
125	9588	36070
126	9662	35988
127	9730	35880
128	9801	35788
129	9865	35668
130	9939	35585
131	10000	35455
132	10070	35359
133	10136	35249
134	10223	35215
135	10291	35113
136	10428	35242
137	10499	35150
138	10565	35041
139	10642	34969
140	10710	34865
141	10791	34805
142	10864	34722
143	10943	34654
144	11021	34583
145	11116	34568
146	11303	34833
147	11467	35022
148	11553	34969
149	11645	34935
150	11737	34900
151	11812	34816
152	11880	34709
153	11983	34704
154	12062	34630
155	12123	34506
156	12191	34401
157	12252	34274
158	12316	34161
159	12377	34039
160	12443	33928
161	12506	33814
162	12568	33695
163	12635	33591
164	12700	33482
165	12765	33375
166	12830	33268
167	12897	33165
168	12956	33041
169	13020	32933
170	13082	32820
171	13164	32759
172	13235	32668
173	13299	32560
174	13365	32459
175	13426	32346
176	13499	32261
177	13559	32147
178	13628	32053
179	13696	31958
180	13759	31850
181	13827	31758
182	13901	31676
183	13976	31598
184	14034	31483
185	14098	31380
186	14158	31270
187	14227	31179
188	14294	31085
189	14355	30978
190	14422	30884
191	14487	30785
192	14547	30676
193	14613	30582
194	14675	30480
195	14738	30378
196	14799	30274
197	14871	30193
198	14956	30139
199	15019	30039
200	15100	29975
201	15163	29876
202	15231	29786
203	15293	29688
204	15382	29639
205	15453	29557
